Dept.,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BSCE,ENG 101/ENG 1011/ENG 1105,English I,CA,MFRK,"October 25, 2025",09:00 AM - 11:00 AM,302 (0312330017-0312520014)
BSCE,CE 2201,Engineering Geology and Geomorphology,A,ShMS,"October 25, 2025",09:00 AM - 11:00 AM,302 (031203010-0312430020)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,A,SabAd,"October 25, 2025",09:00 AM - 11:00 AM,325 (011182070-0112230029)                                                                                                                                                                                                                       328 (0112230187-0112310376)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,B,RbAn,"October 25, 2025",09:00 AM - 11:00 AM,329 (011202283-0112230104)                                                                                                                                                                                                                       330 (0112230111-0112310426)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,C,ARnA,"October 25, 2025",09:00 AM - 11:00 AM,401 (011162003-011221483)                                                                                                                                                                                                                       402 (011222064-0112310499)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,D,ARnA,"October 25, 2025",09:00 AM - 11:00 AM,403 (011192148-011222171)                                                                                                                                                                                                                       404 (011222189-0112410047)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,E,KMRH,"October 25, 2025",09:00 AM - 11:00 AM,425 (011182045-011221567)                                                                                                                                                                                                                       428 (011222123-0112320295)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,F,RaK,"October 25, 2025",09:00 AM - 11:00 AM,429 (011201043-011222129)                                                                                                                                                                                                                       431 (011222188-0112310198)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,G,ARnA,"October 25, 2025",09:00 AM - 11:00 AM,432 (011201059-011221217)                                                                                                                                                                                                                       601 (011221323-0112310481)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AA,ChMR,"October 25, 2025",09:00 AM - 11:00 AM,307 (0112510086-0112520286)                                                                                                                                                                                                                       308 (0112520292-0152520057)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AB,ChMR,"October 25, 2025",09:00 AM - 11:00 AM,309 (0112330068-0112520049)                                                                                                                                                                                                                       322 (0112520050-0152520076)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AC,AShK,"October 25, 2025",09:00 AM - 11:00 AM,323 (0112230685-0112520277)                                                                                                                                                                                                                       324 (0112520281-0152520080)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AD,AShK,"October 25, 2025",09:00 AM - 11:00 AM,325 (011221015-0112520090)                                                                                                                                                                                                                       328 (0112520091-0112520319)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AE,ChMR,"October 25, 2025",09:00 AM - 11:00 AM,329 (011212126-0112520106)                                                                                                                                                                                                                       330 (0112520107-0152410016)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AF,AShK,"October 25, 2025",09:00 AM - 11:00 AM,401 (0112330056-0112520137)                                                                                                                                                                                                                       402 (0112520139-0152520079)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AG,AShK,"October 25, 2025",09:00 AM - 11:00 AM,403 (0112510061-0112520253)                                                                                                                                                                                                                       404 (0112520254-0152520082)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AH,SaHn,"October 25, 2025",09:00 AM - 11:00 AM,728 (0112510069-0152520077)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AI,ShMSh,"October 25, 2025",09:00 AM - 11:00 AM,428 (0112330433-0112520218)                                                                                                                                                                                                                       429 (0112520219-0112520318)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AJ,MARi,"October 25, 2025",09:00 AM - 11:00 AM,725 (0112320080-0152520078)
BSCSE,IPE 3401/IPE 401,Industrial and Operational Management/Industrial Management,A,ShSg,"October 25, 2025",09:00 AM - 11:00 AM,432 (011191246-0112320171)                                                                                                                                                                                                                       601 (0112320173-0152430071)
BSCSE,IPE 3401/IPE 401,Industrial and Operational Management/Industrial Management,B,PPDR,"October 25, 2025",09:00 AM - 11:00 AM,602 (011201252-0112310289)                                                                                                                                                                                                                       603 (0112310306-0152430085)
BSCSE,IPE 3401/IPE 401,Industrial and Operational Management/Industrial Management,C,NMAI,"October 25, 2025",09:00 AM - 11:00 AM,604 (011201420-0112310597)                                                                                                                                                                                                                       605 (0112320006-0152330156)
BSCSE,IPE 3401/IPE 401,Industrial and Operational Management/Industrial Management,D,AbTr,"October 25, 2025",09:00 AM - 11:00 AM,630 (011181193-0112230565)                                                                                                                                                                                                                       631 (0112230887-0152410058)
BSCSE,IPE 3401/IPE 401,Industrial and Operational Management/Industrial Management,E,RkAf,"October 25, 2025",09:00 AM - 11:00 AM,632 (011213102-0152330147)
BSCSE,IPE 3401/IPE 401,Industrial and Operational Management/Industrial Management,F,NMAI,"October 25, 2025",09:00 AM - 11:00 AM,701 (011203005-0112310573)                                                                                                                                                                                                                       702 (0112320132-0152430102)
BSCSE,IPE 3401/IPE 401,Industrial and Operational Management/Industrial Management,G,AbTr,"October 25, 2025",09:00 AM - 11:00 AM,703 (011202015-0112320052)                                                                                                                                                                                                                       706 (0112320231-0152430079)
BSCSE,IPE 3401/IPE 401,Industrial and Operational Management/Industrial Management,H,RkAf,"October 25, 2025",09:00 AM - 11:00 AM,707 (011211034-0112230716)                                                                                                                                                                                                                       708 (0112230777-0152430048)
BSCSE,IPE 3401/IPE 401,Industrial and Operational Management/Industrial Management,I,PPDR,"October 25, 2025",09:00 AM - 11:00 AM,711 (011201174-0112330221)                                                                                                                                                                                                                       722 (0112330289-0152420026)
BSCSE,IPE 3401/IPE 401,Industrial and Operational Management/Industrial Management,J,ShSg,"October 25, 2025",09:00 AM - 11:00 AM,723 (011191053-0112320081)                                                                                                                                                                                                                       724 (0112330371-0152430051)
BSEEE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,E,SaHn,"October 25, 2025",09:00 AM - 11:00 AM,602 (0212410048-0212520048)
BSEEE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,F,UH,"October 25, 2025",09:00 AM - 11:00 AM,303 (0212420050-0212520028)                                                                                                                                                                                                                       304 (0212520029-0212520054)
BSCE,ENG 1013/ENG 103/ENG 1207,English II,CA,KhJS,"October 25, 2025",11:30 AM - 01:30 PM,307 (0152510002-0312510031)
BSCE,CE 3231,Wastewater Engineering,A,MrRh,"October 25, 2025",11:30 AM - 01:30 PM,307 (031211007-0312330019)
BSCSE,ENG 1013/ENG 103/ENG 1207,English II/Intensive English II,AA,MZK,"October 25, 2025",11:30 AM - 01:30 PM,328 (0112230626-0112510193)                                                                                                                                                                                                                       329 (0112510198-0152510041)
BSCSE,ENG 1013/ENG 103/ENG 1207,English II/Intensive English II,AB,MARi,"October 25, 2025",11:30 AM - 01:30 PM,330 (0112231034-0112510120)                                                                                                                                                                                                                       401 (0112510197-0152510066)
BSCSE,ENG 1013/ENG 103/ENG 1207,English II/Intensive English II,AC,RnIm,"October 25, 2025",11:30 AM - 01:30 PM,402 (011211045-0112510085)                                                                                                                                                                                                                       403 (0112510092-0152510019)
BSCSE,ENG 1013/ENG 103/ENG 1207,English II/Intensive English II,AD,ShMSh,"October 25, 2025",11:30 AM - 01:30 PM,404 (0112231061-0112510306)                                                                                                                                                                                                                       425 (0112510309-0152510057)
BSCSE,ENG 1013/ENG 103/ENG 1207,English II/Intensive English II,AF,KhJS,"October 25, 2025",11:30 AM - 01:30 PM,428 (0112230058-0112510155)                                                                                                                                                                                                                       429 (0112510160-0152510054)
BSCSE,ENG 1013/ENG 103/ENG 1207,English II/Intensive English II,AG,KhJS,"October 25, 2025",11:30 AM - 01:30 PM,431 (0112420167-0112510253)                                                                                                                                                                                                                       432 (0112510256-0152510065)
BSCSE,ENG 1013/ENG 103/ENG 1207,English II/Intensive English II,AH,MZK,"October 25, 2025",11:30 AM - 01:30 PM,601 (011202200-0112510166)                                                                                                                                                                                                                       602 (0112510204-0112510405)
BSCSE,ENG 1013/ENG 103/ENG 1207,English II/Intensive English II,AI,KhJS,"October 25, 2025",11:30 AM - 01:30 PM,603 (011201410-0112510263)                                                                                                                                                                                                                       604 (0112510289-0152510068)
BSDS,DS 3885,Data Wrangling,BA,MdTH,"October 25, 2025",11:30 AM - 01:30 PM,305 (0152310002-0152330112)                                                                                                                                                                                                                       306 (0152330129-0152410063)
BSEEE,EEE 301/EEE 3107,Electrical Properties of Materials,A,IBC,"October 25, 2025",11:30 AM - 01:30 PM,302 (021201068-0212310049)                                                                                                                                                                                                                       303 (0212310064-0212330162)
BSEEE,EEE 301/EEE 3107,Electrical Properties of Materials,B,IBC,"October 25, 2025",11:30 AM - 01:30 PM,304 (021182009-0212330152)
BSEEE,EEE 305/EEE 3205,Power System,A,SMLK,"October 25, 2025",11:30 AM - 01:30 PM,305 (021131165-021221085)                                                                                                                                                                                                                       306 (021221103-0212230127)
BSEEE,ENG 1013/ENG 103/ENG 1207,English II/Intensive English II,F,ShMSh,"October 25, 2025",11:30 AM - 01:30 PM,302 (0212330120-0212510035)
BSEEE,ENG 1013/ENG 1207,English II/Intensive English II,G,ChMR,"October 25, 2025",11:30 AM - 01:30 PM,301 (0212330022-0212510046)
BSCE,CHEM 1211,Chemistry,CA,SdRd,"October 25, 2025",02:00 PM - 04:00 PM,303 (031221042-0312510001)
BSCE,CHEM 1211,Chemistry,CB,SdRd,"October 25, 2025",02:00 PM - 04:00 PM,711 (031221002-0312430068)
BSCE,CE 4217,Design of Concrete Structures II,A,JAJ,"October 25, 2025",02:00 PM - 04:00 PM,601 (031213008-0312230033)
BSCSE,CSE 313/CSE 3313,Computer Architecture,A,STT,"October 25, 2025",02:00 PM - 04:00 PM,707 (011181177-0112330205)                                                                                                                                                                                                                       708 (0112330222-0112410351)
BSCSE,CSE 313/CSE 3313,Computer Architecture,B,SAhSh,"October 25, 2025",02:00 PM - 04:00 PM,304 (011181042-0112330292)                                                                                                                                                                                                                       305 (0112330324-0112410064)
BSCSE,CSE 313/CSE 3313,Computer Architecture,C,HAN,"October 25, 2025",02:00 PM - 04:00 PM,306 (011202272-0112320105)                                                                                                                                                                                                                       307 (0112320131-0112410536)
BSCSE,CSE 313/CSE 3313,Computer Architecture,D,SAhSh,"October 25, 2025",02:00 PM - 04:00 PM,308 (011221148-0112330412)                                                                                                                                                                                                                       309 (0112330413-0112410254)
BSCSE,CSE 313/CSE 3313,Computer Architecture,E,SAhSh,"October 25, 2025",02:00 PM - 04:00 PM,322 (011212006-0112330340)                                                                                                                                                                                                                       323 (0112330366-0112331167)
BSCSE,CSE 313/CSE 3313,Computer Architecture,F,STT,"October 25, 2025",02:00 PM - 04:00 PM,324 (011201316-0112330097)                                                                                                                                                                                                                       325 (0112330100-0112410146)
BSCSE,CSE 313/CSE 3313,Computer Architecture,G,TaSa,"October 25, 2025",02:00 PM - 04:00 PM,328 (011153072-0112330072)                                                                                                                                                                                                                       329 (0112330211-0112430006)
BSCSE,CSE 313/CSE 3313,Computer Architecture,H,TaSa,"October 25, 2025",02:00 PM - 04:00 PM,330 (011212011-0112320043)                                                                                                                                                                                                                       401 (0112320126-0112410248)
BSCSE,CSE 313/CSE 3313,Computer Architecture,I,SAhSh,"October 25, 2025",02:00 PM - 04:00 PM,402 (011172045-0112330067)                                                                                                                                                                                                                       403 (0112330085-0112331148)
BSCSE,CSE 313/CSE 3313,Computer Architecture,J,STT,"October 25, 2025",02:00 PM - 04:00 PM,404 (011193122-0112330237)                                                                                                                                                                                                                       425 (0112330242-0112410524)
BSCSE,CSE 313/CSE 3313,Computer Architecture,K,MoIsm,"October 25, 2025",02:00 PM - 04:00 PM,428 (011201310-0112330232)
BSCSE,CSE 313/CSE 3313,Computer Architecture,L,STT,"October 25, 2025",02:00 PM - 04:00 PM,429 (011201401-0112330151)                                                                                                                                                                                                                       431 (0112330214-0112410062)
BSCSE,CSE 313/CSE 3313,Computer Architecture,M,SAhSh,"October 25, 2025",02:00 PM - 04:00 PM,432 (011182080-0112330360)                                                                                                                                                                                                                       601 (0112330362-0112410314)
BSCSE,CSE 313/CSE 3313,Computer Architecture,O,MdMrRn,"October 25, 2025",02:00 PM - 04:00 PM,602 (011162047-0112410508)
BSCSE,CSE 4889/CSE 489,Machine Learning,A,ARnA,"October 25, 2025",02:00 PM - 04:00 PM,703 (011192073-011221292)                                                                                                                                                                                                                       706 (011221299-0112310113)
BSCSE,CSE 4889/CSE 489,Machine Learning,B,Ojn,"October 25, 2025",02:00 PM - 04:00 PM,701 (011201209-011221334)                                                                                                                                                                                                                       702 (011221339-0112230829)
BSCSE,CSE 4889/CSE 489,Machine Learning,C,Ojn,"October 25, 2025",02:00 PM - 04:00 PM,402 (011201194-011221263)                                                                                                                                                                                                                       403 (011221265-0112231068)
BSCSE,CSE 4889/CSE 489,Machine Learning,D,ShAhd,"October 25, 2025",02:00 PM - 04:00 PM,308 (011183060-011221170)                                                                                                                                                                                                                       309 (011221199-0112310470)
BSCSE,CSE 4889/CSE 489,Machine Learning,E,SaIs,"October 25, 2025",02:00 PM - 04:00 PM,322 (011203016-011221454)                                                                                                                                                                                                                       323 (011221457-0112310423)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",A,MMBK,"October 25, 2025",02:00 PM - 04:00 PM,725 (011213198-0112430148)                                                                                                                                                                                                                       728 (0112430156-0112430743)
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",B,SMYA,"October 25, 2025",02:00 PM - 04:00 PM,729 (011213212-0112430005)                                                                                                                                                                                                                       730 (0112430012-0112430745)
