Dept.,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BSCE,ENG 101/ENG 1011/ENG 1105,English I,CA,MFRK,"September 07, 2025",09:00 AM - 11:00 AM,306 (0312330017-0312520014)
BSCE,CE 2201,Engineering Geology and Geomorphology,A,ShMS,"September 07, 2025",09:00 AM - 11:00 AM,301 (031203010-0312430020)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,A,SabAd,"September 07, 2025",09:00 AM - 11:00 AM,406 (011181060-011222221)                                                                                                                                                                                                                       425 (011222270-0112310376)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,B,RbAn,"September 07, 2025",09:00 AM - 11:00 AM,428 (011202283-0112230104)                                                                                                                                                                                                                       429 (0112230111-0112310426)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,C,MSSh,"September 07, 2025",09:00 AM - 11:00 AM,431 (011162003-011221483)                                                                                                                                                                                                                       432 (011222064-0112310499)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,D,ARnA,"September 07, 2025",09:00 AM - 11:00 AM,601 (011192148-011222115)                                                                                                                                                                                                                       602 (011222171-0112410047)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,E,MSSh,"September 07, 2025",09:00 AM - 11:00 AM,603 (011182045-011221567)                                                                                                                                                                                                                       604 (011222123-0112320295)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,F,MSSh,"September 07, 2025",09:00 AM - 11:00 AM,605 (011201043-011222030)                                                                                                                                                                                                                       630 (011222129-0112310198)
BSCSE,CSE 4509/CSI 309,Operating System Concepts/Operating Systems,G,ARnA,"September 07, 2025",09:00 AM - 11:00 AM,631 (011201059-011221217)                                                                                                                                                                                                                       632 (011221323-0112310481)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AA,ChMR,"September 07, 2025",09:00 AM - 11:00 AM,601 (0112420534-0112520284)                                                                                                                                                                                                                       602 (0112520286-0152520057)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AB,ChMR,"September 07, 2025",09:00 AM - 11:00 AM,603 (0112320221-0112520048)                                                                                                                                                                                                                       604 (0112520049-0152520076)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AC,AShK,"September 07, 2025",09:00 AM - 11:00 AM,605 (0112230685-0112520075)                                                                                                                                                                                                                       630 (0112520123-0152520080)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AD,AShK,"September 07, 2025",09:00 AM - 11:00 AM,631 (011221015-0112520089)                                                                                                                                                                                                                       632 (0112520090-0112520324)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AE,ChMR,"September 07, 2025",09:00 AM - 11:00 AM,701 (011212126-0112520106)                                                                                                                                                                                                                       702 (0112520107-0152410016)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AF,AShK,"September 07, 2025",09:00 AM - 11:00 AM,703 (0112330056-0112520132)                                                                                                                                                                                                                       706 (0112520135-0152520079)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AG,AShK,"September 07, 2025",09:00 AM - 11:00 AM,707 (0112430205-0112520252)                                                                                                                                                                                                                       708 (0112520253-0152520082)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AH,SaHn,"September 07, 2025",09:00 AM - 11:00 AM,711 (0112430182-0112520184)                                                                                                                                                                                                                       722 (0112520185-0152520077)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AI,ShMSh,"September 07, 2025",09:00 AM - 11:00 AM,723 (0112330433-0112520217)                                                                                                                                                                                                                       724 (0112520218-0112520318)
BSCSE,ENG 101/ENG 1011/ENG 1105,English I/Intensive English I,AJ,MARi,"September 07, 2025",09:00 AM - 11:00 AM,725 (0112320080-0152520078)
